                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7626,                 3.0886,                 1.5045,                0.63634,                0.41027,                0.45369,                0.29481,                 1.4116,                 2.3707,                 1.4932,             0.00046598,             0.00046598,             0.00046598
                      2,                 1.8451,                 1.9133,                  1.638,                 0.2163,                0.45772,                0.18214,                0.09879,                 1.8026,                 38.565,                 1.6616,               0.000905,               0.000905,               0.000905
                      3,                 1.9144,                 1.8838,                 1.6772,                0.12737,                0.29506,                0.08324,                 0.0458,                 2.2978,                 7.4776,                 2.3152,              0.0013063,              0.0013063,              0.0013063
                      4,                 1.9201,                 1.8316,                 1.7331,                0.59827,                0.52111,                0.50825,                 0.3069,                 1.5866,                 17.239,                 1.5971,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.9098,                 1.5887,                 1.6601,                0.53266,                0.31212,                0.38522,                0.20893,                  1.934,                 2.5741,                 1.8144,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.8626,                 1.5386,                 1.6725,                 0.4654,                0.58438,                0.52614,                0.30359,                 1.6477,                 2.1898,                 1.6753,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7858,                 1.4351,                 1.6107,                  0.866,                0.66229,                0.74215,                0.44209,                 1.4728,                 2.1761,                 1.4693,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.7803,                  1.358,                  1.592,                0.68395,                0.65049,                0.72584,                  0.427,                 1.5449,                  1.424,                 1.4761,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.7885,                 1.3303,                 1.6141,                0.80541,                 0.7201,                 0.7986,                0.50213,                 1.3966,                 1.1777,                 1.3953,             0.00097629,             0.00097629,             0.00097629
                     10,                  1.752,                 1.2449,                 1.5691,                 0.8095,                0.70532,                0.79687,                0.48388,                 1.3575,                 1.3889,                 1.3764,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.6842,                 1.1899,                 1.5253,                0.82097,                0.75421,                 0.8324,                0.54118,                 1.3432,                 1.0163,                 1.3694,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.6653,                 1.1238,                 1.5255,                0.89479,                0.72288,                0.83851,                0.53959,                 1.3232,                0.96904,                 1.3538,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.5808,                 1.0221,                 1.4846,                0.85647,                0.74131,                0.82461,                 0.5359,                 1.3043,                 1.0534,                 1.3473,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.6191,                 1.0482,                 1.4934,                0.79414,                 0.8027,                0.84726,                 0.5294,                 1.2947,                0.96244,                 1.3057,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.5587,                0.96405,                 1.4636,                0.89866,                0.73839,                0.83809,                0.54823,                 1.2862,                0.92305,                 1.2979,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.5406,                 0.9751,                 1.4907,                 0.8929,                 0.7745,                 0.8673,                0.57254,                 1.3063,                0.87645,                 1.3174,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.4922,                0.85426,                 1.4542,                0.88261,                0.79219,                0.85783,                0.58232,                 1.2338,                 0.8667,                 1.2832,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.4915,                0.83773,                 1.4479,                0.83727,                0.86152,                0.89659,                0.60548,                 1.2669,                0.78059,                 1.3155,               0.000467,               0.000467,               0.000467
                     19,                 1.4773,                0.80398,                 1.4093,                0.89027,                0.83553,                0.90058,                0.61012,                 1.2707,                0.74224,                 1.3288,             0.00041041,             0.00041041,             0.00041041
                     20,                  1.432,                 0.7705,                 1.4094,                0.94381,                0.84996,                0.90749,                0.63763,                 1.1374,                0.71411,                 1.2629,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.3996,                0.72807,                 1.4045,                0.96724,                0.85433,                0.91602,                0.61985,                 1.1493,                0.69112,                 1.2477,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.3771,                0.70954,                 1.3729,                0.93314,                0.87194,                0.91183,                0.65376,                  1.065,                0.66641,                 1.1891,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.3376,                0.69058,                 1.3509,                0.96154,                0.84662,                0.91203,                 0.6511,                 1.0915,                0.68762,                 1.2085,             0.00018406,             0.00018406,             0.00018406
                     24,                 1.3119,                0.66659,                 1.3377,                0.95297,                0.85836,                0.91095,                0.66556,                 1.0482,                0.66021,                  1.196,             0.00012747,             0.00012747,             0.00012747
                     25,                 1.2794,                0.65349,                 1.3295,                0.91133,                 0.8783,                0.91292,                0.66652,                 1.0216,                0.65188,                 1.1824,             7.0878e-05,             7.0878e-05,             7.0878e-05
